PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0001_01,2,False,664880,0,39.0,False,0.0,0.0,0.0,0.0,0.0,0,False
0002_01,0,False,704883,0,24.0,False,109.0,9.0,25.0,549.0,44.0,1,True
0003_01,2,False,654883,0,58.0,True,43.0,3576.0,0.0,6715.0,49.0,2,False
0003_02,2,False,654883,0,33.0,False,0.0,1283.0,371.0,3329.0,193.0,3,False
0004_01,0,False,704983,0,16.0,False,303.0,70.0,151.0,565.0,2.0,4,True
0005_01,0,False,704880,2,44.0,False,0.0,483.0,0.0,291.0,0.0,5,True
0006_01,0,False,705083,0,26.0,False,42.0,1539.0,3.0,0.0,0.0,6,True
0006_02,0,True,714883,0,28.0,False,0.0,0.0,0.0,0.0,0,7,True
0007_01,0,False,705183,0,35.0,False,0.0,785.0,17.0,216.0,0.0,8,True
0008_01,2,True,664980,1,14.0,False,0.0,0.0,0.0,0.0,0.0,9,True
0008_02,2,True,664980,0,34.0,False,0.0,0.0,0,0.0,0.0,10,True
0008_03,2,False,664980,1,45.0,False,39.0,7295.0,589.0,110.0,124.0,11,True
0009_01,1,False,704980,0,32.0,False,73.0,0.0,1123.0,0.0,113.0,12,True
0010_01,0,False,714983,0,48.0,False,719.0,1.0,65.0,0.0,24.0,13,False
0011_01,0,False,705080,0,28.0,False,8.0,974.0,12.0,2.0,7.0,14,True
0012_01,0,False,0,0,31.0,False,32.0,0.0,876.0,0.0,0.0,15,False
0014_01,1,False,705180,1,27.0,False,1286.0,122.0,0,0.0,0.0,16,False
0015_01,0,False,705280,1,24.0,False,0.0,1.0,0.0,0.0,637.0,17,False
0016_01,1,True,705380,0,45.0,False,0.0,0.0,0.0,0.0,0.0,18,True
0017_01,0,False,714880,0,0.0,False,0.0,0.0,0.0,0.0,0.0,19,True
0017_02,0,False,705480,1,14.0,False,412.0,0.0,1.0,0.0,679.0,20,False
0020_01,0,True,694883,0,1.0,False,0.0,0.0,0.0,0.0,0.0,21,False
0020_02,0,True,694883,1,49.0,False,0.0,0.0,0.0,0.0,0.0,22,False
0020_03,0,True,694883,1,29.0,False,0.0,0.0,0,0.0,0.0,23,False
0020_04,0,False,694883,0,10.0,False,0.0,0.0,0.0,0.0,0.0,24,True
0020_05,0,True,694883,2,1.0,False,0,0.0,0.0,0.0,0.0,25,False
0020_06,0,False,694883,0,7.0,False,0.0,0.0,0.0,0.0,0.0,26,False
0022_01,1,False,684880,0,21.0,False,980.0,2.0,69.0,0.0,0.0,27,False
0024_01,2,True,675083,0,62.0,False,0.0,0.0,0,0.0,0.0,28,True
0025_01,0,False,705483,0,15.0,False,0.0,225.0,0.0,998.0,0.0,29,False
0026_01,2,False,674880,1,34.0,False,22.0,6073.0,0.0,1438.0,328.0,30,False
0028_01,1,False,705680,0,43.0,False,1125.0,0.0,136.0,48.0,0.0,31,False
